w1  w2
31.09198000652395 -208.90801999347605
-27.138199966394943 -267.13819996639495
69.82060567502504 -170.17939432497496
91.78099176374644 -148.21900823625356
64.8488221625662 -175.1511778374338
19.69854793942477 -220.30145206057523
-40.49217026512405 -280.49217026512406
-35.14465421474552 -275.1446542147455
-30.05319473857435 -270.05319473857435
-15.976563950307535 -255.97656395030754
53.506884655062095 -186.4931153449379
104.13632640604828 -135.86367359395172
101.75152574819917 -138.24847425180081
26.215884525915495 -213.7841154740845
25.358138403677913 -214.6418615963221
49.27150380816875 -190.72849619183125
16.158325200836774 -223.84167479916323
35.98089712961427 -204.01910287038572
103.60855740082525 -136.39144259917475
130.01236322190152 -109.98763677809848
136.463719723929 -103.53628027607101
126.65554232876457 -113.34445767123543
102.52790240147806 -137.47209759852194
99.70330335645666 -140.29669664354333
126.99867415628887 -113.00132584371113
112.93850574986163 -127.06149425013837
95.62582060733483 -144.37417939266516
118.96527923763189 -121.03472076236811
136.17892514743653 -103.82107485256347
84.57971440297753 -155.42028559702248
20.202206741456394 -219.7977932585436
11.851655363105237 -228.14834463689476
-39.99427425605745 -279.99427425605745
-102.78509636092532 -342.7850963609253
-60.91180025832409 -300.9118002583241
-96.14377180828977 -336.1437718082898
-67.454127209116 -307.454127209116
-70.44162092753824 -310.4416209275382
10.498345130532016 -229.50165486946798
62.7302654116179 -177.2697345883821
46.105881547015535 -193.89411845298446
-7.5563156464122585 -247.55631564641226
3.5334473571274425 -236.46655264287256
21.537816332282546 -218.46218366771745
43.271453219587784 -196.72854678041222
81.06731302133039 -158.9326869786696
108.91510146409928 -131.08489853590072
117.01530175376547 -122.98469824623453
109.01723783211493 -130.98276216788508
101.93027853495823 -138.06972146504177
98.69670233520537 -141.30329766479463
115.83641957548616 -124.16358042451384
103.72570967211553 -136.27429032788447
48.70759566166318 -191.29240433833684
29.335782996104626 -210.66421700389537
-15.968872579737308 -255.9688725797373
-51.2019592877873 -291.2019592877873
-39.78278884192014 -279.78278884192014
-51.610878177125414 -291.6108781771254
-103.7288086845206 -343.7288086845206
-110.36962522666545 -350.36962522666545
-59.06528143135119 -299.0652814313512
-21.814274792817738 -261.81427479281774
4.122443166774701 -235.8775568332253
35.3450681981244 -204.6549318018756
71.40548038353381 -168.5945196164662
85.57482058742471 -154.4251794125753
66.98716757086731 -173.0128324291327
50.12571324197461 -189.8742867580254
50.81940876731824 -189.18059123268176
76.99512448749327 -163.00487551250671
108.1031786760841 -131.8968213239159
74.43152098233168 -165.56847901766832
49.03615253696671 -190.9638474630333
43.8422801161264 -196.1577198838736
58.562201438267934 -181.43779856173205
72.99653570914597 -167.00346429085403
81.54920952607564 -158.45079047392437
66.03806771253765 -173.96193228746233
30.383292832254483 -209.61670716774552
9.70906185615877 -230.29093814384123
-9.669015083788056 -249.66901508378805
-8.849232168440265 -248.84923216844027
3.457260075510021 -236.54273992448998
-7.158001042959312 -247.1580010429593
-61.16248785092148 -301.1624878509215
-14.300763989453573 -254.30076398945357
19.739359890612377 -220.26064010938762
23.783977887805577 -216.21602211219442
47.884149724454794 -192.1158502755452
24.02456925679826 -215.97543074320174
-6.901255604523157 -246.90125560452316
2.768039198937913 -237.2319608010621
63.35614316115516 -176.64385683884484
91.32590238830471 -148.6740976116953
38.06555702136802 -201.93444297863198
-31.905010430864433 -271.9050104308644
-12.787286079625575 -252.78728607962557
4.5222606008178445 -235.47773939918216
35.047860264790415 -204.95213973520958
51.5619189058598 -188.43808109414022
32.468929325516456 -207.53107067448354
3.9444371804161165 -236.05556281958388
-8.423407305835553 -248.42340730583555
8.21468854489376 -231.78531145510624
37.908579433599236 -202.09142056640076
16.223515889158076 -223.77648411084192
-8.826389926854972 -248.82638992685497
-13.141111207420638 -253.14111120742064
-41.52146235770488 -281.5214623577049
-122.4664584543566 -362.4664584543566
-97.09917678720831 -337.0991767872083
-108.99585567545728 -348.9958556754573
-124.6387315148577 -364.6387315148577
-73.30283003355862 -313.3028300335586
-80.94941643596304 -320.94941643596303
-81.36665158184815 -321.36665158184815
-67.7351675886689 -307.7351675886689
-60.035203610631925 -300.0352036106319
-70.08210828910842 -310.0821082891084
-75.93328362614965 -315.93328362614966
-55.99059182019028 -295.9905918201903
-26.07021182913058 -266.0702118291306
-13.080740121470622 -253.08074012147063
24.33129825573269 -215.6687017442673
41.178411537855474 -198.82158846214452
97.30996146715873 -142.69003853284127
133.19128725122349 -106.80871274877651
128.4429262607323 -111.55707373926771
136.67769682626928 -103.32230317373072
124.91978413526023 -115.08021586473977
117.57912141152339 -122.42087858847661
165.64751303788077 -74.35248696211923
196.71197294439435 -43.28802705560565
177.95593700907284 -62.04406299092716
167.32058812453715 -72.67941187546285
173.86452271502503 -66.13547728497497
158.40820374576697 -81.59179625423303
