total DFI time:0.01seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-27.70387877  -278.0038464  0.6985819136  2.599864204  3.298446117  
-27.70387877  -250.1927389  0.6603850016  2.750431784  3.410816785  
-27.70387877  -222.3816314  0.7798840211  3.427619025  4.207503046  
-27.70387877  -194.5705239  1.211945527  3.702593259  4.914538786  
-27.70387877  -166.7594163  2.316491801  4.845960073  7.162451874  
-27.70387877  -138.9483088  3.178164577  6.772886114  9.951050691  
-27.70387877  -111.1372013  8.325842092  7.25412107  15.57996316  
-27.70387877  -83.3260938  15.19443291  9.783245182  24.97767809  
-27.70387877  -55.51498629  27.92472346  10.64363947  38.56836292  
-27.70387877  -27.70387877  40.06795152  3.820133451  43.88808497  
-27.70387877  0.10722874  43.95608318  8.281079791  52.23716298  
-27.70387877  27.91833625  39.86958671  13.11821141  52.98779811  
-27.70387877  55.72944377  27.70102768  15.97896365  43.67999133  
-27.70387877  83.54055128  11.71033307  14.36855028  26.07888335  
-27.70387877  111.3516588  1.275107941  11.44940427  12.72451221  
-27.70387877  139.1627663  -1.909777057  9.248937393  7.339160336  
-27.70387877  166.9738738  -2.328996454  7.318209049  4.989212595  
-27.70387877  194.7849813  -1.027469231  6.219546051  5.19207682  
-27.70387877  222.5960889  -0.8787262382  5.463135512  4.584409274  
-27.70387877  250.4071964  -0.3283702222  4.46649337  4.138123148  
0.10722874  -305.8149539  -0.368168998  2.859195203  2.491026205  
0.10722874  -278.0038464  -0.687855624  3.171634668  2.483779044  
0.10722874  -250.1927389  -0.6672735457  3.412496514  2.745222968  
0.10722874  -222.3816314  -1.564757521  3.545812064  1.981054543  
0.10722874  -194.5705239  -2.004231067  4.502892798  2.49866173  
0.10722874  -166.7594163  -1.239794957  5.190084083  3.950289126  
0.10722874  -138.9483088  -1.281304347  6.26983728  4.988532933  
0.10722874  -111.1372013  3.283479038  7.57537563  10.85885467  
0.10722874  -83.3260938  8.352401959  8.220247899  16.57264986  
0.10722874  -55.51498629  14.57999189  8.126803168  22.70679506  
0.10722874  -27.70387877  28.08599608  9.541029544  37.62702563  
0.10722874  0.10722874  41.87343809  21.28098349  63.15442159  
0.10722874  27.91833625  43.31578127  23.14236266  66.45814393  
0.10722874  55.72944377  37.10080237  20.59690627  57.69770864  
0.10722874  83.54055128  23.83411377  17.01784246  40.85195623  
0.10722874  111.3516588  8.997476156  13.33855589  22.33603204  
0.10722874  139.1627663  5.570913273  9.815309993  15.38622327  
0.10722874  166.9738738  2.622214816  7.941088049  10.56330287  
0.10722874  194.7849813  2.771158733  6.434216411  9.205375144  
0.10722874  222.5960889  1.945277896  5.283491986  7.228769881  
0.10722874  250.4071964  1.328780603  4.893781054  6.222561657  
27.91833625  -305.8149539  -0.4982380738  3.814053743  3.315815669  
27.91833625  -278.0038464  -1.017430272  3.879320638  2.861890366  
27.91833625  -250.1927389  -1.669067174  4.443034085  2.773966911  
27.91833625  -222.3816314  -2.291004473  5.268807914  2.977803441  
27.91833625  -194.5705239  -3.215911192  5.799194012  2.58328282  
27.91833625  -166.7594163  -3.52214023  7.236106254  3.713966024  
27.91833625  -138.9483088  -4.508585111  8.948623379  4.440038268  
27.91833625  -111.1372013  -4.484937783  9.658364029  5.173426246  
27.91833625  -83.3260938  -0.7624915718  12.10752523  11.34503366  
27.91833625  -55.51498629  3.791813535  12.78935938  16.58117292  
27.91833625  -27.70387877  11.82302725  13.86114686  25.68417411  
27.91833625  0.10722874  27.2398858  21.52015849  48.76004429  
27.91833625  27.91833625  44.16353937  10.54174199  54.70528136  
27.91833625  55.72944377  43.53922309  22.48484469  66.02406778  
27.91833625  83.54055128  33.8849592  15.74120604  49.62616524  
27.91833625  111.3516588  22.08348728  10.89854207  32.98202935  
27.91833625  139.1627663  10.96997477  8.046465323  19.0164401  
27.91833625  166.9738738  7.469702561  5.702040643  13.1717432  
27.91833625  194.7849813  6.582827109  4.78889478  11.37172189  
27.91833625  222.5960889  5.56012085  3.894900334  9.455021185  
27.91833625  250.4071964  4.36639278  3.296851368  7.663244148  
55.72944377  -305.8149539  -0.4834410955  3.992154354  3.508713258  
55.72944377  -278.0038464  -1.198339884  4.327388351  3.129048467  
55.72944377  -250.1927389  -1.607510903  4.861596775  3.254085873  
55.72944377  -222.3816314  -2.013892708  5.854964894  3.841072185  
55.72944377  -194.5705239  -4.248167636  6.66855447  2.420386835  
55.72944377  -166.7594163  -4.250584134  7.956239376  3.705655241  
55.72944377  -138.9483088  -4.370839154  9.846092892  5.475253739  
55.72944377  -111.1372013  -6.521459115  11.13035011  4.608890997  
55.72944377  -83.3260938  -5.275709965  13.16869208  7.892982116  
55.72944377  -55.51498629  -3.133868037  14.97761901  11.84375098  
55.72944377  -27.70387877  -0.8913535953  17.18522516  16.29387157  
55.72944377  0.10722874  9.463717657  20.51420219  29.97791985  
55.72944377  27.91833625  18.23647127  24.51243046  42.74890173  
55.72944377  55.72944377  32.88784141  24.6092752  57.49711661  
